what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253474565869
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253474572610
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1253474585369
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253474588317
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253474675390
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253474689208
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1253474691694
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253474691726
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253474693913
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253474733270
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.update",1253474737706
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253474738107
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253474739926
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253474746859
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.help.installationDialog",1253474841755
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.help.installationDialog",1253474872773
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.help.installationDialog",1253474885754
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253474897817
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1253474898220
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1253474898295
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1253474898312
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1253474898349
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1253474898366
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.102.v200807232000,"org.eclipse.jst.ws.axis2.consumption.ui",1253474898366
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.105.v200901220134,"org.eclipse.jst.ws.axis2.creation.core",1253474898366
