"externalId";"name";"code";"active"
"AFG";"Afeganistão";"AFG";"true"
"ALA";"Ilhas Aland";"ALA";"true"
"ALB";"Albânia";"ALB";"true"
"DZA";"Argélia";"DZA";"true"
"ASM";"Samoa Americana";"ASM";"true"
"AND";"Andorra";"AND";"true"
"AGO";"Angola";"AGO";"true"
"AIA";"Anguilla";"AIA";"true"
"ATA";"Antártica";"ATA";"false"
"ATG";"Antígua-Barbuda";"ATG";"true"
"ARG";"Argentina";"ARG";"true"
"ARM";"Arménia";"ARM";"true"
"ABW";"Aruba";"ABW";"true"
"AUS";"Austrália";"AUS";"true"
"AUT";"Áustria";"AUT";"true"
"AZE";"Azerbeijão";"AZE";"true"
"BHS";"Bahamas";"BHS";"true"
"BHR";"Bahrein";"BHR";"true"
"BGD";"Bangladesh";"BGD";"true"
"BRB";"Barbados";"BRB";"true"
"BLR";"Belarus";"BLR";"true"
"BEL";"Bélgica";"BEL";"true"
"BLZ";"Belize";"BLZ";"true"
"BEN";"Benin";"BEN";"true"
"BMU";"Bermuda";"BMU";"true"
"BTN";"Butão";"BTN";"true"
"BOL";"Bolívia";"BOL";"true"
"BES";"Bonaire-St. Eustatius-Saba";"BES";"true"
"BIH";"Bósnia-Herzegovina";"BIH";"true"
"BWA";"Botswana";"BWA";"true"
"BVT";"Ilha Bouvet";"BVT";"false"
"BRA";"Brasil";"BRA";"true"
"IOT";"Território britânico do Oceano Índico";"IOT";"true"
"VGB";"Ilhas Virgens Britânicas";"VGB";"true"
"BRN";"Brunei";"BRN";"true"
"BGR";"Bulgária";"BGR";"true"
"BFA";"Burkina Faso";"BFA";"true"
"MMR";"Birmânia (Myanmar)";"MMR";"true"
"BDI";"Burundi";"BDI";"true"
"KHM";"Camboja";"KHM";"true"
"CMR";"Camarões";"CMR";"true"
"CAN";"Canadá";"CAN";"true"
"CPV";"Cabo Verde";"CPV";"true"
"CYM";"Ilhas Caimão";"CYM";"true"
"CAF";"República Centro-Africana";"CAF";"true"
"TCD";"Chade";"TCD";"true"
"CHL";"Chile";"CHL";"true"
"CHN";"China";"CHN";"true"
"CXR";"Ilha Christmas";"CXR";"true"
"CCK";"Ilhas Cocos";"CCK";"true"
"COL";"Colómbia";"COL";"true"
"COM";"Comores";"COM";"true"
"COK";"Ilhas Cook";"COK";"true"
"CRI";"Costa Rica";"CRI";"true"
"HRV";"Croácia";"HRV";"true"
"CUB";"Cuba";"CUB";"true"
"CUW";"Curaçau";"CUW";"true"
"CYP";"Chipre";"CYP";"true"
"CZE";"República Tcheca";"CZE";"true"
"COG";"República Democrática do Congo";"COG";"true"
"DNK";"Dinamarca";"DNK";"true"
