IDS	OPTICA	CONFIGURATED
IDS	OPTICA	CONFIGURATED
IDS	OPTICA	CONFIGURATED
IDS	OPTICA	CONFIGURATED
IDS	OPTICA	CONFIGURATED
IDS	OPTICA	CONFIGURATED
IDS	OPTICA	CONFIGURATED
IDS	OPTICA	CONFIGURATED
IDS	OPTICA	CONFIGURATED
IDS	OPTICA	CONFIGURATED
IDS	OPTICA	CONFIGURATED
IDS	OPTICA	CONFIGURATED
IDS	OPTICA	CONFIGURATED
RSTÿRSTOK
***************
ADC=1128,  i=445
ADC=1524,  i=446
ADC=1528,  i=447
ADC=1524,  i=448
ADC=1526,  i=449
ADC=1529,  i=450
ADC=1715,  i=451
ADC=1850,  i=452
ADC=1852,  i=453
ADC=1850,  i=454
ADC=1851,  i=455
ADC=1848,  i=456
ADC=1833,  i=457
ADC=1558,  i=458
ADC=1547,  i=459
ADC=1545,  i=460
ADC=1546,  i=461
ADC=1544,  i=462
ADC=1517,  i=463
ADC=1446,  i=464
ADC=1290,  i=465
***************
ADC=1195,  i=913
***************
ADC=1121,  i=1366
***************
ADC=1415,  i=1373
ADC=1674,  i=1374
ADC=1760,  i=1375
ADC=1577,  i=1376
ADC=1597,  i=1377
ADC=1595,  i=1378
ADC=1597,  i=1379
ADC=1595,  i=1380
ADC=1591,  i=1381
ADC=1485,  i=1382
***************
ADC=1151,  i=1837
ADC=1156,  i=1838
ADC=1553,  i=1839
***************
ADC=1302,  i=447
ADC=1333,  i=448
ADC=1297,  i=449
ADC=1539,  i=450
ADC=1800,  i=451
ADC=1802,  i=452
ADC=1799,  i=453
ADC=1801,  i=454
ADC=1798,  i=455
ADC=1848,  i=456
ADC=1805,  i=457
ADC=1807,  i=458
ADC=1805,  i=459
ADC=1814,  i=460
ADC=1771,  i=461
ADC=1696,  i=462
ADC=1647,  i=463
ADC=1548,  i=464
ADC=1438,  i=465
ADC=1325,  i=466
ADC=1120,  i=467
ADC=1123,  i=468
ADC=1134,  i=469
***************
ADC=1369,  i=908
ADC=1391,  i=909
ADC=1383,  i=910
ADC=1377,  i=911
ADC=1380,  i=912
ADC=1375,  i=913
ADC=1382,  i=914
ADC=1416,  i=915
ADC=1210,  i=916
***************
ADC=1426,  i=1373
ADC=1743,  i=1374
ADC=1753,  i=1375
ADC=1761,  i=1376
ADC=1599,  i=1377
ADC=1624,  i=1378
ADC=1623,  i=1379
ADC=1624,  i=1380
ADC=1597,  i=1381
ADC=1143,  i=1382
***************
ADC=1480,  i=1835
ADC=1711,  i=1836
ADC=1706,  i=1837
ADC=1707,  i=1838
ADC=1704,  i=1839
ADC=1704,  i=1840
ADC=1701,  i=1841
ADC=1720,  i=1842
ADC=1486,  i=1843
ADC=1150,  i=1844
***************
ADC=1480,  i=446
ADC=1530,  i=447
ADC=1527,  i=448
ADC=1528,  i=449
ADC=1524,  i=450
ADC=1503,  i=451
ADC=1589,  i=452
ADC=1690,  i=453
ADC=1736,  i=454
ADC=1828,  i=455
ADC=1800,  i=456
ADC=1791,  i=457
ADC=1789,  i=458
ADC=1790,  i=459
ADC=1788,  i=460
ADC=1760,  i=461
ADC=1657,  i=462
ADC=1620,  i=463
ADC=1521,  i=464
ADC=1434,  i=465
ADC=1263,  i=466
ADC=1266,  i=467
ADC=1237,  i=468
ADC=1107,  i=469
***************
ADC=1102,  i=913
ADC=1255,  i=914
ADC=1470,  i=915
***************
ADC=1627,  i=1374
ADC=1739,  i=1375
ADC=1764,  i=1376
detectou
ADC=1762,  i=1387
ADC=1759,  i=1386
ADC=1775,  i=1385
ADC=1762,  i=1384
ADC=1639,  i=1383
ADC=1660,  i=478
ADC=1733,  i=477
ADC=1860,  i=476
ADC=1862,  i=475
ADC=1860,  i=474
ADC=1869,  i=473
ADC=1837,  i=472
IDS	OPTICA	READY
IDS	OPTICA	READY
IDS	OPTICA	READY
IDS	OPTICA	READY
IDS	OPTICA	READY
IDS	OPTICA	READY
IDS	OPTICA	READY
IDS	OPTICA	READY
