"externalId";"name";"email";"secondEmail";"organizationType";"active"
1;"CRC Abrantes";"civil.abrantes@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
2;"CRC Angra do Heroismo";"civil.aheroismo@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
3;"CRC Ponta Delgada";"civil.pdelgada@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
4;"Conservatória do Registo Civil - Predial - Comercial e Automóvel";"registos.horta@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
5;"CRC Almada";"civil.almada@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
6;"CRC Amadora";"civil.amadora@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
7;"CRC Aveiro";"civil.aveiro@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
8;"CRC Barreiro";"civil.barreiro@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
9;"CRC Beja";"civil.beja@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
10;"CRC Braga";"civil.braga@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
11;"CRC Bragança";"civil.braganca@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
12;"CRC Caldas da Rainha";"civil.crainha@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
13;"CRC Cascais";"civil.cascais@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
14;"CRC Castelo Branco";"civil.cbranco@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
15;"CRC Coimbra";"civil.coimbra@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
16;"CRC Coimbra";"civil.coimbra@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
17;"CRC Covilhã";"civil.covilha@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
18;"CRC Évora";"civil.evora@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
19;"CRC Faro";"civil.faro@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
20;"CRC Guarda";"civil.guarda@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
21;"CRC Guimarães";"registos.guimaraes@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
22;"CRC Leiria";"civil.leiria@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
23;"CRC Lisboa";"civil.lisboa@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
24;"CRC Lisboa";"civil.lisboa@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
25;"CRC Lisboa";"civil.lisboa@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
26;"CRC Lisboa";"civil.lisboa@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
27;"CRC Lisboa";"civil.lisboa@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
28;"CRC Lisboa";"civil.lisboa@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
29;"CRC Loures";"civil.loures@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
30;"CRC Funchal";"civil.funchal@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
31;"CRC Matosinhos";"civil.matosinhos@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
32;"Conservatória do Registo Civil - Predial - Comercial e Automóvel";"registos.penafiel@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
33;"CRC Portalegre";"civil.portalegre@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
34;"CRC portimão";"civil.portimao@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
35;"3.ª CRC Porto";"civil3.porto@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
36;"2.ª CRC Porto";"civil2.porto@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
37;"4.ª CRC Porto";"civil4.porto@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
38;"CRC Pòvoa do Varzim";"civil.pvarzim@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
39;"CRC Pòvoa do Varzim";"civil.pvarzim@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
40;"CRC Santarém";"civil.santarem@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
41;"CRC Setúbal";"civil.setubal@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
42;"CRC Viana do Castelo";"civil.vcastelo@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
43;"CRC Santa Maria da Feira";"civil.smfeira@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
44;"CRC Vila Franca de Xira";"civil.vfxira@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
45;"CRC Vila Nova Famalicão";"civil.vnfamalicao@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
46;"CRC Vila Nova de gaia";"civil.vngaia@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
47;"CRC Vila Real";"civil.vreal@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
48;"CRC Viseu";"civil.viseu@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
49;"Abrantes – Centro Hospitalar Médio Tejo - EPE ";"civil.abrantes@irn.mj.pt";"civil.abrantes@irn.mj.pt";"HOSPITAL_UNIT";"true"
50;"Angra do Heroismos – Hospital Santo Espírito da Ilha Terceira - EPER.";"civil.aheroismo@irn.mj.pt";"civil.aheroismo@irn.mj.pt";"HOSPITAL_UNIT";"true"
51;"Ponta Delgada – Hospital do Divino Espírito Santo de Ponta Delgada - E.P.E";"civil.pdelgada@irn.mj.pt";"civil.pdelgada@irn.mj.pt";"HOSPITAL_UNIT";"true"
52;"Horta – Hospital da Horta - E.P.E";"registos.horta@irn.mj.pt";"registos.horta@irn.mj.pt";"HOSPITAL_UNIT";"true"
53;"Alamada – Hospital Garcia de Orta - EPE";"civil.almada@irn.mj.pt";"civil.almada@irn.mj.pt";"HOSPITAL_UNIT";"true"
54;"Amadora – Hospital Professor Doutor Fernando Fonseca - EPE ";"civil.amadora@irn.mj.pt";"civil.amadora@irn.mj.pt";"HOSPITAL_UNIT";"true"
55;"Aveiro – Centro Hospitalar do Baixo Vouga - EPE";"civil.aveiro@irn.mj.pt";"civil.aveiro@irn.mj.pt";"HOSPITAL_UNIT";"true"
56;"Barreiro – Centro Hospitalar Barreiro/Montijo - EPE ";"civil.barreiro@irn.mj.pt";"civil.barreiro@irn.mj.pt";"HOSPITAL_UNIT";"true"
57;"Beja – Unidade Local de Saúde do Baixo Alentejo - EPE ";"civil.beja@irn.mj.pt";"civil.beja@irn.mj.pt";"HOSPITAL_UNIT";"true"
58;"Braga – Hospital de Braga - PPP";"civil.braga@irn.mj.pt";"civil.braga@irn.mj.pt";"HOSPITAL_UNIT";"true"
59;"Bragança – Unidade Local de Saúde do Nordeste - EPE ";"civil.braganca@irn.mj.pt";"civil.braganca@irn.mj.pt";"HOSPITAL_UNIT";"true"
60;"Caldas da Rainha - Centro Hospitalar Oeste - EPE";"civil.crainha@irn.mj.pt";"civil.crainha@irn.mj.pt";"HOSPITAL_UNIT";"true"
61;"Cascais – Hospital de Cascais - PPP";"civil.cascais@irn.mj.pt";"civil.cascais@irn.mj.pt";"HOSPITAL_UNIT";"true"
62;"Castelo Branco – Unidade Local de Saúde de Castelo Branco - EPE ";"civil.cbranco@irn.mj.pt";"civil.cbranco@irn.mj.pt";"HOSPITAL_UNIT";"true"
63;"Coimbra – Centro Hospitalar e Universitário de Coimbra - EPE (Maternidade Dr. Daniel de Matos)";"civil.coimbra@irn.mj.pt";"civil.coimbra@irn.mj.pt";"HOSPITAL_UNIT";"true"
64;"Coimbra – Centro Hospitalar e Universitário de Coimbra - EPE (Maternidade Bissaya Barreto)";"civil.coimbra@irn.mj.pt";"civil.coimbra@irn.mj.pt";"HOSPITAL_UNIT";"true"
65;"Covilhã - Centro Hospitalar Cova da Beira - EPE";"civil.covilha@irn.mj.pt";"civil.covilha@irn.mj.pt";"HOSPITAL_UNIT";"true"
66;"Évora – Hospital Espírito Santo de Évora - EPE ";"civil.evora@irn.mj.pt";"civil.evora@irn.mj.pt";"HOSPITAL_UNIT";"true"
67;"Faro – Centro Hospitalar do Algarve - EPE";"civil.faro@irn.mj.pt";"civil.faro@irn.mj.pt";"HOSPITAL_UNIT";"true"
68;"Guarda – Unidade Local de Saúde da Guarda - EPE";"civil.guarda@irn.mj.pt";"civil.guarda@irn.mj.pt";"HOSPITAL_UNIT";"true"
69;"Guimarães – Hospital da Senhora da Oliveira Guimarães - EPE";"registos.guimaraes@irn.mj.pt";"registos.guimaraes@irn.mj.pt";"HOSPITAL_UNIT";"true"
70;"Leiria – Centro Hospitalar Leiria - EPE";"civil.leiria@irn.mj.pt";"civil.leiria@irn.mj.pt";"HOSPITAL_UNIT";"true"
71;"Lisboa – Hospital Cuf Descobertas";"civil.lisboa@irn.mj.pt";"civil.lisboa@irn.mj.pt";"HOSPITAL_UNIT";"true"
72;"Lisboa – Hospital Luz";"civil.lisboa@irn.mj.pt";"civil.lisboa@irn.mj.pt";"HOSPITAL_UNIT";"true"
73;"Lisboa – Hospital dos Lusíadas ";"civil.lisboa@irn.mj.pt";"civil.lisboa@irn.mj.pt";"HOSPITAL_UNIT";"true"
74;"Lisboa – Centro Hospitalar de Lisboa Norte - EPE";"civil.lisboa@irn.mj.pt";"civil.lisboa@irn.mj.pt";"HOSPITAL_UNIT";"true"
75;"Lisboa – Centro Hospitalar Lisboa Central - EPE";"civil.lisboa@irn.mj.pt";"civil.lisboa@irn.mj.pt";"HOSPITAL_UNIT";"true"
76;"Lisboa – Centro Hospitalar de Lisboa Ocidental - EPE ";"civil.lisboa@irn.mj.pt";"civil.lisboa@irn.mj.pt";"HOSPITAL_UNIT";"true"
77;"Loures – Hospital Beatriz Ângelo - PPP";"civil.loures@irn.mj.pt";"civil.loures@irn.mj.pt";"HOSPITAL_UNIT";"true"
78;"Funchal – Hospital Dr. Nélio Mendonça ";"civil.funchal@irn.mj.pt";"civil.funchal@irn.mj.pt";"HOSPITAL_UNIT";"true"
79;"Matosinhos – Unidade Local de Saúde de Matosinhos - EPE";"civil.matosinhos@irn.mj.pt";"civil.matosinhos@irn.mj.pt";"HOSPITAL_UNIT";"true"
80;"Penafiel – Centro Hospitalar Tâmega e Sousa - EPE";"registos.penafiel@irn.mj.pt";"registos.penafiel@irn.mj.pt";"HOSPITAL_UNIT";"true"
81;"Portalegre – Unidade Local de Saúde do Norte Alentejano - EPE";"civil.portalegre@irn.mj.pt";"civil.portalegre@irn.mj.pt";"HOSPITAL_UNIT";"true"
82;"Portimão – Centro Hospitalar do Algarve - EPE (Hospital de Portimão)";"civil.portimao@irn.mj.pt";"civil.portimao@irn.mj.pt";"HOSPITAL_UNIT";"true"
83;"Porto – Hospital da Cuf Porto ";"civil3.porto@irn.mj.pt";"civil3.porto@irn.mj.pt";"HOSPITAL_UNIT";"true"
