"externalId";"name";"code";"active";"countyExternalId"
"110000_11_111300_340111301_26021";"A dos Cunhados";"111301";"false";"110000_11_111300_340"
"110000_11_111300_340111321_26216";"A dos Cunhados e Maceira";"111321";"true";"110000_11_111300_340"
"100000_10_100600_274100601_22720";"A dos Francos";"100601";"true";"100000_10_100600_274"
"100000_10_101200_2821012AD_23339";"A dos Francos";"1012AD";"false";"100000_10_101200_282"
"100000_10_101200_281101201_23353";"A dos Negros";"101201";"true";"100000_10_101200_281"
"130000_13_131300_401131301_30587";"A Ver-o-Mar";"131301";"false";"130000_13_131300_401"
"030000_3_030800_770308AD_6350";"Abação (São Cristôvão)";"0308AD";"false";"030000_3_030800_77"
"030000_3_030800_77030864_6969";"Abação (São Tomé)";"030864";"false";"030000_3_030800_77"
"030000_3_030800_77030875_7062";"Abação e Gémeos";"030875";"true";"030000_3_030800_77"
"170000_17_171400_493171401_40327";"Abaças";"171401";"true";"170000_17_171400_493"
"030000_3_030200_71030201_3851";"Abade de Neiva";"030201";"true";"030000_3_030200_71"
"030000_3_031200_81031201_7809";"Abade de Vermoim";"031201";"false";"030000_3_031200_81"
"030000_3_030400_73030401_5417";"Abadim";"030401";"true";"030000_3_030400_73"
"040000_4_040700_100040701_10770";"Abambres";"040701";"true";"040000_4_040700_100"
"160000_16_160400_460160401_35631";"Abedim";"160401";"true";"160000_16_160400_460"
"110000_11_11AH00_29611AH01_23891";"Abela";"11AH01";"false";"110000_11_11AH00_296"
"150000_15_150900_448150901_34355";"Abela";"150901";"true";"150000_15_150900_448"
"140000_14_141400_4281414AC_32610";"Abitureiras";"1414AC";"false";"140000_14_141400_428"
"140000_14_141600_430141601_32839";"Abitureiras";"141601";"true";"140000_14_141600_430"
"100000_10_101500_285101501_23544";"Abiul";"101501";"true";"100000_10_101500_285"
"130000_13_130100_387130101_27653";"Aboadela";"130101";"false";"130000_13_130100_387"
"130000_13_130100_387130141_28050";"Aboadela, Sanche e Várzea";"130141";"true";"130000_13_130100_387"
"140000_14_140100_4151401AD_31690";"Aboboreira";"1401AD";"false";"140000_14_140100_415"
"140000_14_141300_427141301_32533";"Aboboreira";"141301";"false";"140000_14_141300_427"
"130000_13_130100_387130102_27663";"Aboim";"130102";"false";"130000_13_130100_387"
"030000_3_030500_740305AJ_5593";"Aboim";"0305AJ";"false";"030000_3_030500_74"
"030000_3_030700_76030701_5985";"Aboim";"030701";"false";"030000_3_030700_76"
"030000_3_03AG00_6803AG01_3542";"Aboim da Nobrega";"03AG01";"false";"030000_3_03AG00_68"
"030000_3_03AD00_6503ADAB_3471";"Aboim da Nobrega";"03ADAB";"false";"030000_3_03AD00_65"
"030000_3_031300_82031301_8314";"Aboim da Nóbrega";"031301";"false";"030000_3_031300_82"
"030000_3_031300_82031359_8890";"Aboim da Nóbrega e Gondomar";"031359";"true";"030000_3_031300_82"
"160000_16_160100_457160101_34708";"Aboim das Choças";"160101";"true";"160000_16_160100_457"
"030000_3_030700_76030737_6340";"Aboim, Felgueiras, Gontim e Pedraído";"030737";"true";"030000_3_030700_76"
"030000_3_030200_71030202_3861";"Aborim";"030202";"true";"030000_3_030200_71"
"140000_14_14AE00_41214AE01_31671";"Abrã";"14AE01";"false";"140000_14_14AE00_412"
"140000_14_141600_430141602_32850";"Abrã";"141602";"true";"140000_14_141600_430"
"130000_13_131100_399131101_30033";"Abragão";"131101";"true";"130000_13_131100_399"
"140000_14_140100_415140111_31804";"Abrantes (São João)";"140111";"false";"140000_14_140100_415"
"140000_14_140100_415140120_31888";"Abrantes (São Vicente e São João) e Alferrarede";"140120";"true";"140000_14_140100_415"
"140000_14_140100_415140113_31825";"Abrantes (São Vicente)";"140113";"false";"140000_14_140100_415"
"180000_18_182300_539182301_44188";"Abraveses";"182301";"true";"180000_18_182300_539"
"040000_4_04AD00_8704AD11_9030";"Abreiro";"04AD11";"false";"040000_4_04AD00_87"
"040000_4_040700_100040702_10780";"Abreiro";"040702";"true";"040000_4_040700_100"
"110000_11_110100_328110101_24057";"Abrigada";"110101";"false";"110000_11_110100_328"
"110000_11_110100_328110117_24212";"Abrigada e Cabanas de Torres";"110117";"true";"110000_11_110100_328"
"050000_5_05AE00_11205AE02_12380";"Abrunheira";"05AE02";"false";"050000_5_05AE00_112"
"060000_6_061000_166061001_15487";"Abrunheira";"061001";"false";"060000_6_061000_166"
"060000_6_061000_166061015_15620";"Abrunheira, Verride e Vila Nova da Barca";"061015";"true";"060000_6_061000_166"
"180000_18_18AH00_50118AH05_40685";"Abrunhosa";"18AH05";"false";"180000_18_18AH00_501"
"180000_18_180600_522180601_41708";"Abrunhosa-a-Velha";"180601";"true";"180000_18_180600_522"
"420000_35_420200_625420201_45782";"Achada";"420201";"true";"420000_35_420200_625"
"210000_21_210200_574210201_44800";"Achada";"210201";"false";"210000_21_210200_574"
"220000_23_220600_589220601_44952";"Achadas da Cruz";"220601";"false";"220000_23_220600_589"
"310000_32_310600_617310601_45449";"Achadas da Cruz";"310601";"true";"310000_32_310600_617"
"220000_23_220100_5822201AC_44885";"Achadas da Cruz (R.A.A.)";"2201AC";"false";"220000_23_220100_582"
"420000_35_420200_625420202_45792";"Achadinha";"420202";"true";"420000_35_420200_625"
"210000_21_210200_574210202_44801";"Achadinha";"210202";"false";"210000_21_210200_574"
"140000_14_141600_430141603_32860";"Achete";"141603";"false";"140000_14_141600_430"
"140000_14_141600_430141629_33115";"Achete, Azoia de Baixo e Póvoa de Santarém";"141629";"true";"140000_14_141600_430"
"040000_4_040900_102040901_11474";"Açoreira";"040901";"true";"040000_4_040900_102"
"090000_9_090300_243090301_19094";"Açores";"090301";"false";"090000_9_090300_243"
"090000_9_090300_243090323_19307";"Açores e Velosa";"090323";"true";"090000_9_090300_243"
"030000_3_030200_71030203_3871";"Adães";"030203";"true";"030000_3_030200_71"
"090000_9_090700_248090766_20461";"Adão";"090766";"true";"090000_9_090700_248"
"030000_3_030300_72030301_4763";"Adaúfe";"030301";"true";"030000_3_030300_72"
"070000_7_071000_1930710AA_17347";"Adaval";"0710AA";"false";"070000_7_071000_193"
"090000_9_090200_242090201_18796";"Ade";"090201";"false";"090000_9_090200_242"
"090000_9_09AJ00_22909AJ02_18530";"Ade";"09AJ02";"false";"090000_9_09AJ00_229"
